ID,Name,Center,CategoryId,CategoryName,SellingPrice,CostPrice,QtyInStock,QtyReceived,BarVisible,RestaurantVisible,COSPercent,GPAmount,GPPercent,Notes,TotalValue,TotalCost,Margin
556,ST CLAIRS TONIC WATER,bar,CAT_1769874497293,Wines,2.0,0.34,0,0,Yes,No,0.0,1.66,83.0,,0,0,0
104,STELLA ARTOIS,bar,CAT_1769874497293,Wines,2.0,1.25,0,0,Yes,No,0.0,0.75,37.5,,0,0,0
ITEM_1769871865445,Sticky Wings,restaurant,CAT_1769871525773,Starters,4.0,1.0,0,0,No,Yes,25.0,3.0,75.0,,0,0,0
ITEM_1769871919053,Sticky Wings Combo,restaurant,CAT_1769871525773,Starters,8.0,2.0,0,0,No,Yes,25.0,6.0,75.0,,0,0,0
802,STRAWBERRY DAIQUIRY,bar,CAT_1769874497293,Wines,0.0,0.0,0,0,Yes,No,0.0,0.0,0.0,,0,0,0
508,STRAWBERRY LIPS,bar,CAT_1769874497293,Wines,2.0,0.72,0,0,Yes,No,0.0,1.28,64.0,,0,0,0
404,STRETTONï¿½S DOUBLE CUT,bar,CAT_1769874497293,Wines,2.0,0.48,0,0,Yes,No,0.0,1.52,76.0,,0,0,0
403,STRETTONï¿½S WILD BERRIES,bar,CAT_1769874497293,Wines,2.0,0.48,0,0,Yes,No,0.0,1.52,76.0,,0,0,0
ITEM_1769872263357,T-Bone Steak,restaurant,CAT_1769871498245,Mains,15.0,3.2,0,0,No,Yes,21.33,11.8,78.67,,0,0,0
409,TANQRAY SEVILLA,bar,CAT_1769874497293,Wines,3.0,0.86,0,0,Yes,No,0.0,2.14,71.33,,0,0,0
401,TANQUARY DRY GIN,bar,CAT_1769874497293,Wines,3.0,0.86,0,0,Yes,No,0.0,2.14,71.33,,0,0,0
402,TANQUARY GIN NO 10,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
502,TEQUILA DARK CHOCOLATE,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
500,TEQUILA GOLD,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
501,TEQUILA SILVER,bar,CAT_1769874497293,Wines,3.0,1.05,0,0,Yes,No,0.0,1.95,65.0,,0,0,0
1002,THREE MONKEYS RED WIN,bar,CAT_1769874497293,Wines,15.0,5.0,0,0,Yes,No,0.0,10.0,66.67,,0,0,0
962,TIGER EYE,bar,CAT_1769874497293,Wines,1.0,0.57,0,0,Yes,No,0.0,0.43,43.0,,0,0,0
151,VAT 69,bar,CAT_1769874497293,Wines,2.0,0.72,0,0,Yes,No,0.0,1.28,64.0,,0,0,0
150,VICEROY,bar,CAT_1769874497293,Wines,2.0,0.48,0,0,Yes,No,0.0,1.52,76.0,,0,0,0
ITEM_1769873698389,Waffles,restaurant,CAT_1769871473629,Desserts,5.0,1.2,0,0,No,Yes,24.0,3.8,76.0,,0,0,0
410,WHITE STONE,bar,CAT_1769874497293,Wines,2.0,0.48,0,0,Yes,No,0.0,1.52,76.0,,0,0,0
400,WHITLEY NEIL BLOOD GIN,bar,CAT_1769874497293,Wines,3.0,0.72,0,0,Yes,No,0.0,2.28,76.0,,0,0,0
511,WILD PEACH,bar,CAT_1769874497293,Wines,2.0,0.72,0,0,Yes,No,0.0,1.28,64.0,,0,0,0
105,WINDHOEK DRAFT,bar,CAT_1769874497293,Wines,3.0,1.5,0,0,Yes,No,0.0,1.5,50.0,,0,0,0
106,ZAMBEZI PNTS,bar,CAT_1769874497293,Wines,2.0,1.0,0,0,Yes,No,0.0,1.0,50.0,,0,0,0
503,ZAPPA BLACK,bar,CAT_1769874497293,Wines,3.0,0.86,0,0,Yes,No,0.0,2.14,71.33,,0,0,0
